,precision,recall,f1-score,support
anthracnose,0.5882352941176471,0.5263157894736842,0.5555555555555556,19.0
borer,0.8,0.75,0.7741935483870968,16.0
canker,0.4444444444444444,0.2222222222222222,0.2962962962962963,18.0
healthy,0.8048780487804879,0.9705882352941176,0.88,68.0
mites,0.8333333333333334,0.7142857142857143,0.7692307692307693,14.0
accuracy,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.7555555555555555
macro avg,0.6941782241351826,0.6366823922551477,0.6550552338939435,135.0
weighted avg,0.728702552385001,0.7555555555555555,0.7324830846838016,135.0
