,precision,recall,f1-score,support
anthracnose,0.6,0.6,0.6,20.0
borer,0.7857142857142857,0.6875,0.7333333333333333,16.0
canker,0.4,0.2222222222222222,0.2857142857142857,18.0
healthy,0.7710843373493976,0.9411764705882353,0.847682119205298,68.0
mites,0.8888888888888888,0.5714285714285714,0.6956521739130435,14.0
accuracy,0.7279411764705882,0.7279411764705882,0.7279411764705882,0.7279411764705882
macro avg,0.6891375023905144,0.6044654528478057,0.632476382433192,136.0
weighted avg,0.7106588820267062,0.7279411764705882,0.7077772427715688,136.0
