,precision,recall,f1-score,support
anthracnose,0.4375,0.3684210526315789,0.4,19.0
borer,0.8,0.75,0.7741935483870968,16.0
canker,0.2857142857142857,0.1111111111111111,0.16,18.0
healthy,0.788235294117647,0.9852941176470589,0.8758169934640523,68.0
mites,0.75,0.6428571428571429,0.6923076923076923,14.0
accuracy,0.7185185185185186,0.7185185185185186,0.7185185185185186,0.7185185185185186
macro avg,0.6122899159663866,0.5715366848493784,0.5804636468317683,135.0
weighted avg,0.6692989417989418,0.7185185185185186,0.6823330372004207,135.0
