mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3173362731933594,0.016873586000051136,0.11630659103393555,0.010483124199773609,10.0,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.847926267281106,0.9027777777777778,0.9074074074074074,0.9212962962962963,0.8472222222222222,0.8853259941969618,0.03142181791279113,1
0.2912900924682617,0.007410285900827935,0.12099733352661132,0.0055168624214692406,10.0,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.847926267281106,0.9027777777777778,0.9074074074074074,0.9212962962962963,0.8472222222222222,0.8853259941969618,0.03142181791279113,1
0.15508999824523925,0.004873833247899157,0.09318356513977051,0.009217728672817935,10.0,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.8433179723502304,0.9027777777777778,0.9212962962962963,0.9074074074074074,0.8425925925925926,0.8834784092848608,0.03364451175082831,3
0.23784275054931642,0.00411184675472305,0.11169257164001464,0.008177148045015462,1.0,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8341013824884793,0.8842592592592593,0.9027777777777778,0.9074074074074074,0.8333333333333334,0.8723758320532514,0.03250217104617023,4
0.25934314727783203,0.02962222629973096,0.11150460243225098,0.014479193560516402,1.0,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.8341013824884793,0.8842592592592593,0.9027777777777778,0.9074074074074074,0.8333333333333334,0.8723758320532514,0.03250217104617023,4
0.13659520149230958,0.008998526537638293,0.027220726013183594,0.0032949050564174513,0.1,scale,linear,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.847926267281106,0.8935185185185185,0.8935185185185185,0.9027777777777778,0.8055555555555556,0.8686593275302952,0.036910630515352386,6
0.11785359382629394,0.013876856913781661,0.02583651542663574,0.002592926587588673,0.1,0.01,linear,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.847926267281106,0.8935185185185185,0.8935185185185185,0.9027777777777778,0.8055555555555556,0.8686593275302952,0.036910630515352386,6
0.08724031448364258,0.012625073351669803,0.03551921844482422,0.021564883475326955,0.1,auto,linear,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.847926267281106,0.8935185185185185,0.8935185185185185,0.9027777777777778,0.8055555555555556,0.8686593275302952,0.036910630515352386,6
0.11447086334228515,0.012603966317839638,0.024495887756347656,0.002666881096760893,10.0,auto,linear,"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.847926267281106,0.8935185185185185,0.8935185185185185,0.9027777777777778,0.8055555555555556,0.8686593275302952,0.036910630515352386,6
0.1134181022644043,0.007324457737443435,0.028462982177734374,0.0019758270518446955,10.0,0.001,linear,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.847926267281106,0.8935185185185185,0.8935185185185185,0.9027777777777778,0.8055555555555556,0.8686593275302952,0.036910630515352386,6
0.11446328163146972,0.013842141405562149,0.023847198486328124,0.0022679844087624018,1.0,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.847926267281106,0.8935185185185185,0.8935185185185185,0.9027777777777778,0.8055555555555556,0.8686593275302952,0.036910630515352386,6
