,precision,recall,f1-score,support
Anthracnose,0.7,0.5833333333333334,0.6363636363636364,12.0
Borer,1.0,0.8571428571428571,0.9230769230769231,7.0
Canker,0.5,0.2727272727272727,0.35294117647058826,11.0
Healthy,0.7692307692307693,0.9090909090909091,0.8333333333333334,33.0
Mite,0.6666666666666666,0.8,0.7272727272727273,10.0
accuracy,0.7397260273972602,0.7397260273972602,0.7397260273972602,0.7397260273972602
macro avg,0.7271794871794872,0.6844588744588744,0.6945975593034417,73.0
weighted avg,0.7253600280997541,0.7397260273972602,0.7226435933124088,73.0
